"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Mason","Legislative District 35 State Representative Pos. 2","Lynda Ring-Erickson","(Prefers Democratic Party)","9198","43.9717","Legislative District 35"
"Mason","Mason County County Commissioner District 1","Denny Hamilton","(Prefers Democratic Party)","9523","47.1459","Mason County"
"Mason","Mason County County Commissioner District 1","Randy Neatherlin","(States No Party Preference)","10676","52.8541","Mason County"
"Mason","Mason County County Commissioner District 2","Tim Sheldon","(Prefers Democratic Party)","10815","54.0426","Mason County"
"Mason","Mason County County Commissioner District 2","Roslynne Reed","(Prefers Democratic Party)","9197","45.9574","Mason County"
"Mason","Mason County County Commissioner District 3","Ross Gallagher","(Prefers Democratic Party)","9588","48.0818","Mason County"
"Mason","Mason County County Commissioner District 3","Terri Jeffreys","(Prefers Independent Party)","10353","51.9182","Mason County"
"Mason","Supreme Court Justice Position 2","Susan Owens","","15419","100","Supreme Court"
"Mason","Supreme Court Justice Position 8","Steve Gonzalez","","15212","100","Supreme Court"
"Mason","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","9078","50.9857","Supreme Court"
"Mason","Supreme Court Justice Position 9","Richard B. Sanders","","8727","49.0143","Supreme Court"
"Mason","Court of Appeals, Division 2, District 2 Judge Position 2","Pamela (Pam) Loginsky","","8687","50.2429","Court of Appeals, Division 2, District 2"
"Mason","Court of Appeals, Division 2, District 2 Judge Position 2","Thomas Bjorgen","","8603","49.7571","Court of Appeals, Division 2, District 2"
"Mason","Mason Superior Court Judge Position 1","Amber L Finlay","","15718","100","Mason Superior Court"
"Mason","Mason Superior Court Judge Position 2","Toni A. Sheldon","","15607","100","Mason Superior Court"
"Mason","Public Utility Dist 1 Commissioner District 3","Johnny H. (Jack) Janda","","688","59.5156","Public Utility Dist 1"
"Mason","Public Utility Dist 1 Commissioner District 3","Willie Pierce","","468","40.4844","Public Utility Dist 1"
"Mason","Public Utility Dist 3 Commissioner District 3","Bruce E Jorgenson","","14451","100","Public Utility Dist 3"
"Mason","McCleary School 65 McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts","Approved","","14","100","McCleary School 65"
"Mason","McCleary School 65 McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts","Rejected","","0","0","McCleary School 65"
"Okanogan","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","6222","71.133","Statewide"
"Okanogan","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","2525","28.867","Statewide"
"Okanogan","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","4224","47.9129","Statewide"
"Okanogan","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","4592","52.0871","Statewide"
"Okanogan","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","3416","37.9724","Statewide"
"Okanogan","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","5580","62.0276","Statewide"
"Okanogan","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","4652","51.58","Statewide"
"Okanogan","Statewide Initiative Measure No. 502 Concerns marijuana","No","","4367","48.42","Statewide"
"Okanogan","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","5148","61.9197","Statewide"
"Okanogan","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","3166","38.0803","Statewide"
"Okanogan","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","2701","31.8102","Statewide"
"Okanogan","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","5790","68.1898","Statewide"
"Okanogan","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","5633","68.254","Washington State"
"Okanogan","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","2620","31.746","Washington State"
"Okanogan","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","5370","66.4439","Washington State"
"Okanogan","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","2712","33.5561","Washington State"
"Okanogan","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","3738","40.9868","United States"
"Okanogan","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","5134","56.2939","United States"
"Okanogan","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","124","1.3596","United States"
"Okanogan","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","42","0.4605","United States"
"Okanogan","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","54","0.5921","United States"
"Okanogan","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","5","0.0548","United States"
"Okanogan","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","7","0.0768","United States"
"Okanogan","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","16","0.1754","United States"
"Okanogan","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","4224","46.7308","United States"
"Okanogan","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","4815","53.2692","United States"
"Okanogan","Congressional District 4 U.S. Representative","Doc Hastings","(Prefers Republican Party)","5630","63.0036","Congressional District 4"
"Okanogan","Congressional District 4 U.S. Representative","Mary Baechler","(Prefers Democratic Party)","3306","36.9964","Congressional District 4"
"Okanogan","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","3583","39.5737","Washington State"
"Okanogan","Washington State Governor","Rob McKenna","(Prefers Republican Party)","5471","60.4263","Washington State"
"Okanogan","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","3911","44.3575","Washington State"
"Okanogan","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","4906","55.6425","Washington State"
"Okanogan","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","5280","60.3291","Washington State"
"Okanogan","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","3472","39.6709","Washington State"
"Okanogan","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","3940","45.5123","Washington State"
"Okanogan","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","4717","54.4877","Washington State"
"Okanogan","Washington State State Auditor","James Watkins","(Prefers Republican Party)","5124","59.5399","Washington State"
"Okanogan","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","3482","40.4601","Washington State"
"Okanogan","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","3553","40.7828","Washington State"
"Okanogan","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","5159","59.2172","Washington State"
"Okanogan","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","3928","44.2044","Washington State"
"Okanogan","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","4958","55.7956","Washington State"
"Okanogan","Washington State Superintendent of Public Instruction","Randy I. Dorn","","6008","100","Washington State"
"Okanogan","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","3739","43.8592","Washington State"
"Okanogan","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","4786","56.1408","Washington State"
"Okanogan","Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","3635","100","Legislative District 7"
"Okanogan","Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","3133","73.1155","Legislative District 7"
"Okanogan","Legislative District 7 State Representative Pos. 2","Robert (Bob) Wilson","(Prefers Republican Party)","1152","26.8845","Legislative District 7"
"Okanogan","Legislative District 12 State Senator","Linda Evans Parlette","(Prefers Gop Party)","2972","100","Legislative District 12"
"Okanogan","Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","2202","66.027","Legislative District 12"
"Okanogan","Legislative District 12 State Representative Pos. 1","Stan Morse","(Prefers Republican Party)","1133","33.973","Legislative District 12"
"Okanogan","Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","1712","50.442","Legislative District 12"
"Okanogan","Legislative District 12 State Representative Pos. 2","Brad Hawkins","(Prefers Republican Party)","1682","49.558","Legislative District 12"
"Okanogan","OKANOGAN COUNTY Commissioner District 1","Sheilah Kennedy","(Prefers Republican Party)","5085","59.5573","OKANOGAN COUNTY"
"Okanogan","OKANOGAN COUNTY Commissioner District 1","Albert Roberts","(Prefers Democratic Party)","3453","40.4427","OKANOGAN COUNTY"
"Okanogan","OKANOGAN COUNTY Commissioner District 2","Don R. "Bud" Hover","(Prefers Republican Party)","3892","49.4159","OKANOGAN COUNTY"
"Okanogan","OKANOGAN COUNTY Commissioner District 2","Ray L. Campbell","(Prefers Republican Party)","3984","50.5841","OKANOGAN COUNTY"
"Okanogan","Supreme Court Justice Position 2","Susan Owens","","5660","100","Supreme Court"
"Okanogan","Supreme Court Justice Position 8","Steve Gonzalez","","5528","100","Supreme Court"
"Okanogan","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","3465","48.5634","Supreme Court"
"Okanogan","Supreme Court Justice Position 9","Richard B. Sanders","","3670","51.4366","Supreme Court"
"Okanogan","Court of Appeals, Division 3, District 1 Judge Position 1","Laurel Siddoway","","5464","100","Court of Appeals, Division 3, District 1"
"Okanogan","Okanogan Superior Court Judge Position 2","Chris Culp","","6152","100","Okanogan Superior Court"
"Okanogan","DISTRICT COURT JUDGE Judge Pos. 1","Scot D. Stuart","","2687","35.8314","DISTRICT COURT JUDGE"
"Okanogan","DISTRICT COURT JUDGE Judge Pos. 1","Heidi E. Smith","","4812","64.1686","DISTRICT COURT JUDGE"
"Okanogan","FERRY PUD ALL PUBLIC UTILITY COMMISSIONER #2","Dan Fagerlie","","51","57.9545","FERRY PUD ALL"
"Okanogan","FERRY PUD ALL PUBLIC UTILITY COMMISSIONER #2","Nathan Davis","","37","42.0455","FERRY PUD ALL"
"Okanogan","OKANOGAN PUD ALL Commissioner Dist. #2","Steve Houston","","4394","58.2836","OKANOGAN PUD ALL"
"Okanogan","OKANOGAN PUD ALL Commissioner Dist. #2","Trish Butler","","3145","41.7164","OKANOGAN PUD ALL"
"Okanogan","CITY OF OKANOGAN City of Okanogan - Proposition No. 1 Sales and Use Tax Levy within the City of Okanogan","Yes","","238","49.4802","CITY OF OKANOGAN"
